
N

New run with 25 obstacles
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
4.565,0.00168,True,False,False
3.158,0.00116,True,False,False
2.061,0.00076,True,False,False
4.937,0.00182,True,False,False
26.308,0.00969,False,True,False
4.18,0.00154,True,False,False
6.088,0.00224,True,False,False
18.53,0.00682,False,True,False
4.94,0.00182,True,False,False
4.272,0.00157,True,False,False
11.5,0.00423,True,False,False
2.079,0.00077,True,False,False
15.698,0.00578,False,True,False
2.231,0.00082,True,False,False
0.001,0,True,False,False
18.333,0.00675,False,True,False
18.428,0.00678,False,True,False
1.865,0.00069,True,False,False
2.979,0.0011,True,False,False
13.265,0.00488,False,True,False
3.774,0.00139,True,False,False
17.581,0.00647,False,True,False
14.068,0.00518,False,True,False
2.49,0.00092,True,False,False
1.184,0.00044,True,False,False

New run with 100 obstacles and True Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
0.001,0,True,False,True
116.637,0.04289,True,False,True
97.197,0.03575,False,True,True
198.482,0.07299,False,True,True
89.384,0.03286,True,False,True
0.001,0,True,False,True
0.001,0,True,False,True
67.049,0.02466,False,True,True
44.306,0.0163,False,True,True
3.295,0.00121,True,False,True
52.732,0.0194,False,True,True
159.336,0.05858,False,True,True
0.001,0,True,False,True
34.347,0.01263,False,True,True
65.878,0.02423,True,False,True
0.001,0,True,False,True
33.629,0.01237,True,False,True
25.789,0.00949,True,False,True
0.001,0,True,False,True
48.866,0.01797,False,True,True
3.745,0.00138,True,False,True
39.14,0.0144,True,False,True
50.21,0.01847,False,True,True
46.334,0.01704,False,True,True
41.614,0.01531,False,True,True
177.126,0.06513,True,False,True
56.99,0.02096,False,True,True
1.434,0.00053,True,False,True
42.974,0.01581,False,True,True
0.001,0,True,False,True
77.822,0.02862,True,False,True
59.7,0.02196,True,False,True
0.001,0,True,False,True
0.001,0,True,False,True
185.213,0.0681,False,True,True
44.775,0.01647,False,True,True
11.145,0.0041,True,False,True
10.921,0.00402,True,False,True
69.392,0.02552,True,False,True
6.741,0.00248,True,False,True
36.717,0.01351,False,True,True
39.586,0.01456,False,True,True
0.001,0,True,False,True
37.213,0.01369,True,False,True
52.345,0.01925,False,True,True
41.32,0.0152,False,True,True
54.586,0.02008,True,False,True
54.745,0.02014,False,True,True
54.671,0.02011,False,True,True
32.327,0.01189,False,True,True

New run with 100 obstacles and False Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
1.376,0.00051,True,False,False
2.062,0.00076,True,False,False
4.044,0.00149,True,False,False
0.001,0,True,False,False
5.588,0.00205,True,False,False
20.298,0.00746,False,True,False
1.699,0.00062,True,False,False
0.001,0,True,False,False
1.522,0.00056,True,False,False
1.484,0.00055,True,False,False
3.962,0.00146,True,False,False
9.915,0.00364,True,False,False
3.866,0.00142,True,False,False
0.586,0.00022,True,False,False
6.96,0.00256,True,False,False
19.505,0.00717,False,True,False
0.001,0,True,False,False
1.979,0.00073,True,False,False
6.337,0.00233,True,False,False
1.538,0.00056,True,False,False
19.93,0.00733,False,True,False
9.346,0.00344,True,False,False
0.001,0,True,False,False
4.073,0.0015,True,False,False
0.44,0.00016,True,False,False
0.611,0.00022,True,False,False
1.798,0.00066,True,False,False
2.597,0.00095,True,False,False
0.001,0,True,False,False
0.001,0,True,False,False
0.001,0,True,False,False
0.001,0,True,False,False
4.441,0.00163,True,False,False
4.475,0.00165,True,False,False
0.001,0,True,False,False
13.515,0.00497,True,False,False
0.001,0,True,False,False
3.108,0.00114,True,False,False
1.278,0.00047,True,False,False
5.124,0.00188,True,False,False
15.433,0.00567,False,True,False
0.515,0.00019,True,False,False
0.001,0,True,False,False
3.69,0.00136,True,False,False
1.269,0.00047,True,False,False
8.703,0.0032,True,False,False
2.319,0.00085,True,False,False
4.218,0.00155,True,False,False
2.108,0.00077,True,False,False
18.202,0.00669,False,True,False

New run with 25 obstacles and True Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance

New run with 25 obstacles and True Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
